ID	sp10N2016	sp10N2017	sp10N2018	sp16N2016	sp16N2017	sp16N2018	sp1N2016	sp1N2017	sp1N2018	sp20N2016	sp20N2017	sp20N2018
Zotu39511				1								
Zotu13294										16	1	
Zotu9653										2		
Zotu53992							1					
Zotu41514					1							
Zotu20935						1						
Zotu38972											1	
Zotu12840						2						
Zotu49030											1	
Zotu21340					1							
Zotu13030						1						
Zotu14466					2						1	1
Zotu13618					2					6		
Zotu25062											1	
Zotu12296					7	2						
Zotu46420							2					
Zotu16363					2							
Zotu11394					1						1	
Zotu37841										1		
Zotu9934				1								
Zotu36831											1	
Zotu26928						1						
Zotu12392										1		
Zotu15184					1							
Zotu34738					1							
Zotu21428					1							
Zotu23559										1		
Zotu25950										1		
Zotu21539											1	
Zotu2150											1	
Zotu30795					1							
Zotu14556						1						
Zotu45176								1		1		
Zotu9336					1							2
Zotu43713						1						
Zotu30442						2						
Zotu5918					1							
Zotu20707					1							
Zotu10810							1				9	6
Zotu23208				1								
Zotu32615										1		
Zotu21666											1	
Zotu28035							1					
Zotu9959				1	4		3				1	
Zotu14069				1					1			
Zotu19736					1						2	
Zotu18065										1		
Zotu50997								1				
Zotu42506				1								
Zotu16725											1	
Zotu1999											2	
Zotu41094								1				
Zotu42734					2							
Zotu16312										1		
Zotu12674							1				1	
Zotu23095					1							
Zotu18152					2							
Zotu8595						2						4
Zotu16463												1
Zotu13942					1			1				
Zotu48518										1		
Zotu24529						1						
Zotu48851								1				
Zotu17286						1						
Zotu27106					1							
Zotu2223							1				1	
Zotu3434						1						
Zotu42722											1	
Zotu21035					1		1					
Zotu13842				1								
Zotu21620											3	
Zotu56270					1							
Zotu35175					1			1				
Zotu31788								1				
Zotu24752				1	1					4	1	
Zotu7990						1				1		
Zotu33153					1							
Zotu7331							1					1
Zotu16796											2	
Zotu2604					1						2	
Zotu7860									1			
Zotu24787										1		
Zotu32227												1
Zotu14934							1					
Zotu10723					1							
Zotu26091					1							
Zotu11622												1
Zotu44430					1							
Zotu51039												1
Zotu28375							1					
Zotu14629						1						
Zotu15813						2						4
Zotu23973									1			
Zotu15605				1	1	1						
Zotu24659								1			1	
Zotu13427					1							
Zotu5551						1						
Zotu8783					4							
Zotu19025												1
Zotu7500					1							
Zotu7981						1					1	
Zotu43515					1							
Zotu37358					1							
Zotu2287											1	
Zotu7339											1	
Zotu18394											1	
Zotu26381								1				
Zotu25621								1				
Zotu14927												1
Zotu26790										1		
Zotu17109						1						
Zotu3468										2		
Zotu7852							8					
Zotu38804				3					3			
Zotu22916							1	1				
Zotu9520					1							
Zotu10122				1								
Zotu24188					1							
Zotu8950								2			1	
Zotu25563								1				
Zotu12277				1		1						
Zotu22939										1	1	
Zotu19202							3					
Zotu22161								1				
Zotu12655					2							
Zotu15987								2				
Zotu34433								1				
Zotu16776											1	
Zotu7174							1					
Zotu10354				1	1							
Zotu17158					1							
Zotu26358					1							
Zotu11106										1		
Zotu25289							1					
Zotu52910							1					
Zotu23976								1				
Zotu11736							1					
Zotu14744								1				1
Zotu13273					1							
Zotu3969								1				
Zotu10036					1					1		
Zotu29270				1	1							
Zotu26467										1		
Zotu6171					1							
Zotu26935								1				
Zotu32822								1				
Zotu25123										1		1
Zotu23426					1					1		
Zotu23852					1			1		1		
Zotu31178							6	7				
Zotu9077											1	
Zotu15683				1								
Zotu26272					1							
Zotu18015										2		
Zotu36073					1		1	1				
Zotu32667										2		
Zotu30422							1					
Zotu6043					3			1				
Zotu13346												3
Zotu9628				1								1
Zotu6696											2	
Zotu21269								1				
Zotu47124						1						
Zotu13716								1				
Zotu10408				1							3	
Zotu31577								1				
Zotu33599							1			2		
Zotu29641										2		
Zotu8891									1	1		
Zotu9866										1		
Zotu29794										1		
Zotu51175								1				
Zotu15041								1				
Zotu21672												1
Zotu19843							1					
Zotu14608								1				
Zotu55848							1					
Zotu45529								1				
Zotu51440								1				
Zotu22552					2			1				
Zotu16099					5							
Zotu38285								3				
Zotu46488								1				
Zotu5526											1	1
Zotu54506				1				1				
Zotu33561								1				
Zotu32235											1	
Zotu12323					2		4					
Zotu18945							2	1				
Zotu18968											1	
Zotu16733							1					
Zotu7033											2	
Zotu32651											1	
Zotu16573				2	1					1		
Zotu54874					1							
Zotu42913								1				
Zotu17507					1							
Zotu13162										1		
Zotu11281				16	1	3		1				
Zotu12249				2								
Zotu2290											1	
Zotu32973										1		
Zotu17171				1								
Zotu10344								3				
Zotu6968							1					
Zotu25188							1					
Zotu28925										1		
Zotu18328											1	
Zotu6939					1			2				
Zotu21010								2				
Zotu23091								1		1		
Zotu15672											1	
Zotu13481				1						1		
Zotu5764					1							
Zotu17480								3			1	
Zotu20602								1				
Zotu22863										1		
Zotu34377											1	
Zotu30053								1				
Zotu42127					1							
Zotu39366										2		
Zotu45649								1				
Zotu22583								1				
Zotu29495								1				
Zotu7730								2				
Zotu52266								1				1
Zotu29264								1				
Zotu38618						1						
Zotu22115												1
Zotu19092											1	
Zotu30347					1		1					
Zotu5487						1		2	1		1	
Zotu16291						1					2	
Zotu12025										1		
Zotu21169				1								
Zotu28639								1		1		
Zotu10409				1								
Zotu16112											1	
Zotu27156										1		
Zotu10135					1						1	
Zotu18421						1						
Zotu212						3	2		1			
Zotu34086								1		2		
Zotu33701								1				
Zotu35083										1		
Zotu2177										1		
Zotu18081				1								
Zotu25957					1						1	
Zotu17936												1
Zotu40712					1							
Zotu52408					1							
Zotu24059				1								
Zotu12126									1			
Zotu18697												2
Zotu19932							1					
Zotu27199					1							
Zotu23107					1							
Zotu22611						1						
Zotu12348								1				
Zotu53161					1							
Zotu38788								1				
Zotu32098							4			1		
Zotu32432								1				
Zotu40594					1							
Zotu1505												1
Zotu34564								1				
Zotu18755											1	
Zotu54542										1		
Zotu28825				1			1					
Zotu35126				1						1		
Zotu29195						2					2	1
Zotu50819										1		
Zotu54338										1		
Zotu39309									1			
Zotu16142								3				
Zotu46203				2								
Zotu48786											1	
Zotu9774												1
Zotu51435				1	1							
Zotu34129							1					
Zotu25132					2							
Zotu34522										1		
Zotu24877					1							
Zotu12580					1							
Zotu12587				1								
Zotu22303											2	
Zotu32765										1		
Zotu6136								1				
Zotu31001											1	
Zotu18296										1		
Zotu3327					4	1					1	
Zotu8616								1				
Zotu39288										1		
Zotu2236				3	5		1			6	4	
Zotu449							1				21	
Zotu22730							2					
Zotu15161								1				
Zotu11014					1			1				
Zotu12454											1	
Zotu20186											2	
Zotu7984											1	2
Zotu5682										17	2	
Zotu7581											1	
Zotu14724											1	
Zotu15323					2					1		
Zotu4293						1					1	
Zotu1688						1					1	
Zotu47702												1
Zotu20894								1				
Zotu17869											1	
Zotu9874											1	
Zotu20477								1				
Zotu19172												1
Zotu22154					1							
Zotu23888										1		
Zotu23956										1		
Zotu37238							3					
Zotu17078								3				
Zotu12253					1						2	
Zotu1987					11					64		
Zotu9646					1							
Zotu39923										1		
Zotu2458											1	1
Zotu20285								1				
Zotu32004								1				
Zotu8629								1				
Zotu13901										1		
Zotu28708											1	
Zotu1791					13	1						
Zotu41944					1							
Zotu27665										1		
Zotu27910								1				
Zotu26219						1						2
Zotu11258											1	
Zotu2958						1					1	
Zotu17715											1	
Zotu17229											4	
Zotu22902					1							
Zotu12925											4	1
Zotu49117						1						
Zotu49760					1							
Zotu11643								1				
Zotu6957								1				
Zotu30379							1					
Zotu39721							2					
Zotu52409							1					
Zotu7444											2	
Zotu6009											1	
Zotu36336					1							
Zotu4045							1					
Zotu7958						1	1					
Zotu15476								1				
Zotu20487										2		
Zotu25787											1	
Zotu5796												1
Zotu27323					1							
Zotu21773								2				
Zotu8827											1	
Zotu4097						1				2		1
Zotu15398								1				
Zotu27688											4	
Zotu18556								1		3		
Zotu16513					2							
Zotu31966											1	
Zotu21991					1							
Zotu15838											2	
Zotu17908								1			1	
Zotu19922					1							
Zotu49168												1
Zotu31682								1				
Zotu40464											1	
Zotu43186										1		
Zotu36465											1	
Zotu20444										1		
Zotu8096					1							
Zotu6401				1								
Zotu25968								1			1	
Zotu54724											1	
Zotu8787							3					
Zotu44003									1			
Zotu24742						1						
Zotu33923					3							
Zotu4193						1				7		
Zotu19842					1							
Zotu1503					1							
Zotu19880					1					1		
Zotu16329				1								
Zotu28120										1		
Zotu8636												1
Zotu53757						2						
Zotu24625					1						1	
Zotu18628										1		
Zotu25871							3					
Zotu55950										1		
Zotu15187						3						
Zotu26641						1						
Zotu29546											3	
Zotu10411												1
Zotu8869					1	1		1			1	
Zotu12946												1
Zotu14442											1	
Zotu33855										1		
Zotu9711								2				
Zotu13586										2	1	
Zotu7196								1				
Zotu30067							1					
Zotu17207						1						
Zotu21333					1							
Zotu20033									1			
Zotu15405										1		
Zotu5496						1						
Zotu12716								1				
Zotu20259											1	
Zotu53494										1		
Zotu31039						1						
Zotu12939					1			1				
Zotu20938						1						
Zotu22860					1					1		
Zotu6248											1	
Zotu11712												1
Zotu40366								1			2	
Zotu32424						2						
Zotu3031					1			1				
Zotu28741					1					2		
Zotu26598					3					1		
Zotu6163					1			1				
Zotu10201					2						2	
Zotu47038								1				
Zotu22472						1						
Zotu22057								2				
Zotu6383						1						
Zotu42300								1				
Zotu7667								1			1	
Zotu7871										1		
Zotu23721											1	
Zotu18849										1		
Zotu36997								1				
Zotu25021								1				
Zotu24679											1	
Zotu27791								1				
Zotu43978					7							
Zotu30372								1				
Zotu14058					1							
Zotu12791						1			1			
Zotu28919										1		
Zotu31132					2							
Zotu3516												1
Zotu16328								3				
Zotu4679								1				
Zotu17006				1				1		1	1	
Zotu10015										24		
Zotu26683										1		
Zotu9119								1				
Zotu23724								5				
Zotu13763											3	1
Zotu55896						3						
Zotu24897										5		
Zotu20205					1						1	
Zotu33574								1				
Zotu48254										2		
Zotu22006				1								
Zotu20761										1		
Zotu49196							1					
Zotu2249								2			7	
Zotu20509										1		
Zotu38017				1	1							
Zotu40564					1							
Zotu33667									1	6		
Zotu21347						1						
Zotu22969						2						
Zotu20136					1							
Zotu30637										1		
Zotu33406										1		
Zotu6353				1								
Zotu19611					1							
Zotu37785					1							
Zotu46423					1							
Zotu55257											2	
Zotu4631					1							
Zotu10940					1							
Zotu16855											1	
Zotu25987					1						1	
Zotu5500						1						
Zotu16834					26							5
Zotu34399					1	2						
Zotu26123											1	
Zotu28272					1							
Zotu20005												1
Zotu13956					1							
Zotu21402												1
Zotu13393								1		1		
Zotu13287				1								
Zotu48704					1					1		
Zotu28846								1			1	
Zotu17108						1						
Zotu38691									1			
Zotu24089				1	1							
Zotu47652							1					
Zotu27690								2				
Zotu413								1				
Zotu13491						1						
Zotu25423										1		
Zotu20622				1								
Zotu3321							1		1			
Zotu6270												1
Zotu30748												1
Zotu5566											1	
Zotu4257											3	
Zotu43115										1	1	
Zotu38079						1						
Zotu33791					2							
Zotu9433							1					
Zotu26439											1	
Zotu19725					1						1	1
Zotu39488					1							
Zotu23994											1	
Zotu32170										1		
Zotu16596				1								
Zotu36028					2							
Zotu44085					1							
Zotu37226							1					
Zotu7224											1	
Zotu27800					1							
Zotu16931								9				
Zotu26296												1
Zotu17377								1				
Zotu23209											2	
Zotu53733					2					1		
Zotu4206										1		
Zotu9935					1							
Zotu6456				2								
Zotu29735											1	
Zotu2342					2	1						
Zotu50655							3					
Zotu4203						1						
Zotu3246											1	15
Zotu51840								2				
Zotu22431					1						1	
Zotu27069					1							
Zotu23780					1							
Zotu30066						1						
Zotu47014											1	
Zotu31483				1	1							
Zotu36022							1					
Zotu19388				2	3					2		
Zotu7473							1					
Zotu5025					1							
Zotu10540							18	1				
Zotu23703				1	1		17				1	
Zotu52489										1		
Zotu34207										1		
Zotu11753							1				1	
Zotu12695												1
Zotu52873							1					
Zotu42332						1						
Zotu21733										1		
Zotu8167								1				
Zotu10954				1								
Zotu20995											1	
Zotu15717							3					
Zotu39098					1							
Zotu11893											1	
Zotu16942				1	1							
Zotu20762						1						
Zotu54509								1				
Zotu33451							1					
Zotu10819						2						
Zotu21493					2							
Zotu48060								1				
Zotu30090										1		
Zotu32367					1							
Zotu9636												1
Zotu31277										2		
Zotu11992									1			
Zotu19603								5				
Zotu36487						1					1	1
Zotu46974					1			1				
Zotu2535								1				
Zotu20648						1					1	
Zotu30852								1				
Zotu7391								1			2	
Zotu10516												1
Zotu28826								1				
Zotu32801											1	1
Zotu22866								1				
Zotu46057							1					
Zotu8409					1							
Zotu12479					1							
Zotu52320				1								
Zotu11858											1	
Zotu11036					1						1	
Zotu35965								1				
Zotu14692					1						2	
Zotu8660					1							
Zotu11340					1							
Zotu17256					1							
Zotu13733											1	
Zotu16396					1							
Zotu26238								1		1	1	
Zotu37411							2					
Zotu8380						1						
Zotu31853					1							
Zotu21954										2		
Zotu14268								5				
Zotu23981										2		
Zotu2880											2	
Zotu33953											1	
Zotu15375											1	
Zotu8721					1							
Zotu11542											1	
Zotu40738					1							
Zotu40050											1	
Zotu14822												1
Zotu26739						1						
Zotu39757								1				
Zotu14039					1		7	5				
Zotu10267						1						1
Zotu6987				1			1					
Zotu14060										1	1	
Zotu39658										1		
Zotu47676						1						
Zotu22531											1	
Zotu10765					2							
Zotu20403										1		
Zotu2683					1			1			1	
Zotu19478						1					1	
Zotu14419					2							
Zotu23236								1				
Zotu14014						2				1		2
Zotu15784					1							
Zotu28588												1
Zotu13882					1							
Zotu19477							1	1		1		1
Zotu12321												1
Zotu14727											1	
Zotu7338									1			
Zotu15174											1	
Zotu47256								2				
Zotu5166											2	
Zotu13218						1						
Zotu6766								1	1			
Zotu22710										2		
Zotu9797								1				
Zotu22681					2						3	
Zotu21665					1							
Zotu32649						1						
Zotu8072				16	11	31						
Zotu36977					1							
Zotu54220								2				
Zotu909					1				1			1
Zotu14056										1		
Zotu9776						1						
Zotu44500										1		
Zotu23431										1		
Zotu36807					1							
Zotu12947											1	
Zotu52118								3				
Zotu28869											1	
Zotu9575					1							
Zotu42503												7
Zotu32253												1
Zotu13024								1				
Zotu11832						1						1
Zotu22820												1
Zotu27751					1							
Zotu12899											1	
Zotu27141					1							
Zotu43900								1				
Zotu23757										1		
Zotu12535					1							
Zotu39885											1	
Zotu6145												1
Zotu19722											1	
Zotu5652						1						
Zotu21664										1		
Zotu51107					2							
Zotu22960										1		
Zotu4652											1	
Zotu6200					2							
Zotu9720						1						
Zotu36390								1				
Zotu15473					1							
Zotu14062												1
Zotu25316										1		
Zotu35558								1				
Zotu53347										1		
Zotu28596						1						
Zotu19855					1							1
Zotu25399								1				
Zotu6475										1		
Zotu20424						1						
Zotu23962												1
Zotu42902				1								
Zotu38763					1							
Zotu19428							1					
Zotu35454											1	
Zotu15435				1								
Zotu10236												1
Zotu11636					1							
Zotu8985					1							
Zotu17142				1								
Zotu29795								1				
Zotu23662					1							
Zotu14030											1	
Zotu18108								1				
Zotu16371							1					
Zotu24227							1					
Zotu11516										2		
Zotu30638											1	
Zotu31206								1				
Zotu6405						1				2	1	
Zotu11805												1
Zotu28873										2	1	
Zotu36496					1							
Zotu12191					1							
Zotu17260								1				
Zotu5458												2
Zotu32196										1		
Zotu5117												1
Zotu27806											1	
Zotu22706						1						2
Zotu14426								1		1		
Zotu15720					1			1				
Zotu7726						3						
Zotu11181											1	
Zotu16897						1						
Zotu2044							1					
Zotu18527										1	1	
Zotu36610				1	1		1					
Zotu9902											1	
Zotu38129							2					
Zotu18906												2
Zotu26824					3							
Zotu1824				1		40					2	21
Zotu26807										1		
Zotu12098										1	1	
Zotu22537										1		
Zotu14266								1				
Zotu16682											1	
Zotu10547								1				
Zotu8966							1					1
Zotu3850				1								
Zotu24802										1		
Zotu2738						1						1
Zotu7378											39	
Zotu13806							1				1	
Zotu18629											1	
Zotu9502					1							
Zotu20415						1						1
Zotu17392											1	
Zotu18915								1				
Zotu23939					1							
Zotu5996												1
Zotu23495											1	
Zotu42386												1
Zotu4623					3							1
Zotu2657						1						
Zotu28295											1	
Zotu23471								1				
Zotu5339				2		16					2	
Zotu25932				1	1			2				
Zotu43007											1	
Zotu18265							1			1		
Zotu36032						1						
Zotu7106					2							
Zotu12694				2		1	1					
Zotu7705											1	
Zotu5282										1		
Zotu13798				1							3	1
Zotu4090						2		4				
Zotu41751					1							
Zotu49239											2	
Zotu5868					2		2					
Zotu56085					1							
Zotu16358												1
Zotu39075							2			2		
Zotu37628										1		
Zotu10790					1							
Zotu11432											5	
Zotu781												2
Zotu26596					1							
Zotu21707					1							
Zotu9501					1							
Zotu12625					1							
Zotu44858											2	
Zotu4492					1				1		2	
Zotu8925						1						
Zotu53038						2					1	
Zotu25635						1				1		
Zotu23275				1								
Zotu31972												1
Zotu17813				1				1			1	1
Zotu19079											1	
Zotu2563				11	1	1		8	2		2	3
Zotu4580				1					1		11	
Zotu9795						4						
Zotu17263								1			1	
Zotu11206											3	1
Zotu8391											1	
Zotu28863					1							
Zotu3362						2						1
Zotu15686											1	
Zotu2543								1				
Zotu10175								1				
Zotu39253											1	
Zotu29790									1		1	
Zotu34037							2					
Zotu3758							1					
Zotu17104											1	
Zotu18678						1					1	2
Zotu12129						2						
Zotu23061											3	2
Zotu44213				1								
Zotu6784											1	
Zotu50704											1	
Zotu14914					1							
Zotu4945				1	1							
Zotu9141				1								
Zotu13056											1	
Zotu31596							1					
Zotu6290											1	
Zotu40624											1	
Zotu23328							1		1	2		
Zotu21977											1	
Zotu24542				1								
Zotu34599					1							
Zotu2132										1		
Zotu8287											1	
Zotu9505										26		
Zotu5523												2
Zotu14745								1			1	
Zotu37742								1				
Zotu32645								1				
Zotu22998					1							
Zotu2278					1			7	1	22	5	3
Zotu31600								1				
Zotu5698					1			1				
Zotu37485											1	
Zotu33307										1		
Zotu17910										1		
Zotu9450									1			
Zotu6185											1	
Zotu17316					1							
Zotu9470					3							
Zotu5546											1	
Zotu20059						1						
Zotu17425											1	
Zotu10939					1							
Zotu43927											1	
Zotu14866										1		
Zotu18964										2		
Zotu6040						2						
Zotu4793												1
Zotu10623				1								
Zotu46848					1							
Zotu38309					1			1				
Zotu16000						1						
Zotu30263					1							
Zotu39390						1						
Zotu9171							1					
Zotu17750										1		
Zotu35899					1							
Zotu35193										1		
Zotu38698					1							
Zotu1903					7	12	1	2		1	2	
Zotu9372						1						
Zotu40872				1								
Zotu54850								2				
Zotu31733								1				
Zotu51008								1				
Zotu2799										1		1
Zotu2933											1	
Zotu23288					1							
Zotu24277						1						
Zotu35566					1							
Zotu9496											1	
Zotu27490					1							
Zotu36183					1							
Zotu20958					1							
Zotu16503										1		
Zotu4197										1		
Zotu22743					3							
Zotu38290										1		
Zotu26251					1						1	
Zotu6979										1		
Zotu15863											1	
Zotu47121											1	
Zotu51264											1	
Zotu25759							1					
Zotu43838											1	
Zotu18162							1					
Zotu46269									1			
Zotu6644										1		
Zotu4825					1							1
Zotu32979							1					
Zotu14776											1	
Zotu1776											1	
Zotu7032											1	
Zotu29894												1
Zotu28091								1				
Zotu33937					1							
Zotu11664											1	
Zotu13292											1	
Zotu38901					1							
Zotu4021					1					1		
Zotu25015												1
Zotu32922											1	
Zotu25470				1								
Zotu26057							1					
Zotu11885												1
Zotu49217										1		
Zotu7105												1
Zotu46136												1
Zotu37638							1					
Zotu49068										1		
Zotu10985											1	
Zotu5916					2							
Zotu15761											1	
Zotu30588												1
Zotu1005								2				
Zotu3949						1						
Zotu39113										2		
Zotu22218										1		
Zotu9598					1							
Zotu8934						1						
Zotu40368										1	2	
Zotu5076												1
Zotu8016					1							
Zotu50550						1						
Zotu9409					1							
Zotu19724						3			5			
Zotu49776					2			1				
Zotu26480					1							
Zotu4999					1							1
Zotu3389									1			
Zotu13204											1	
Zotu50257							1	2				
Zotu33041										1		2
Zotu8158						1						
Zotu8641						1					1	1
Zotu17890						1						
Zotu31417					1							
Zotu15016											1	
Zotu36398								1				
Zotu9632					3						2	
Zotu31416											1	
Zotu13340						1					1	
Zotu35579				1			1					
Zotu14639					1							
Zotu30557											2	
Zotu38507							1					
Zotu43874												1
Zotu24194					1							
Zotu43833					2							
Zotu34065								1				
Zotu10413												1
Zotu24293											1	
Zotu15841											1	
Zotu8659												1
Zotu49229					1							
Zotu43261					1							
Zotu11768					1						1	
Zotu22609					3			1				
Zotu35591					1							
Zotu12540											1	
Zotu17891											2	
Zotu13225					1							
Zotu15751					1							
Zotu12853								1				
Zotu22791											1	
Zotu39687							2					
Zotu18076					1							
Zotu39903											1	
Zotu17882						1						
Zotu11358											2	
Zotu49060											1	
Zotu15591							1					
Zotu39713							1					
Zotu17137											1	
Zotu54240					1							
Zotu37708												1
Zotu36137												3
Zotu10562											2	
Zotu9580										1		1
Zotu10223							1					
Zotu3375								1				
Zotu49140				1								
Zotu11819					2							
Zotu41266								1				
Zotu25465											1	
Zotu4300											1	1
Zotu14538						1						
Zotu29598					1							
Zotu17509							1					
Zotu39089										1		1
Zotu3519					1							
Zotu7534					1							
Zotu15837												1
Zotu38264								1				
Zotu34552								1				
Zotu2365					1							1
Zotu13170					1	1						
Zotu46906							1					
Zotu29739					1							
Zotu29334					1							
Zotu37172										1		
Zotu29525						1						
Zotu19318									1			
Zotu12615						2						
Zotu29409					1						1	
Zotu37517											1	
Zotu14985												1
Zotu33097										1		
Zotu17359											1	
Zotu14226					4							1
Zotu19742								1				
Zotu41593											1	
Zotu29755							1					
Zotu34515						1		1				
Zotu1151					1							
Zotu27981											1	
Zotu37985											1	
Zotu24962								1				
Zotu13741											1	
Zotu8991								1				
Zotu19203						1						
Zotu35803					2							
Zotu36459											1	
Zotu10794					1							
Zotu31247											2	
Zotu19122								1				
Zotu28332					1		1	1				
Zotu15106					1	1					4	
Zotu8478					1							
Zotu42438								1				
Zotu40821								1				
Zotu3917							1					
Zotu11696											6	
Zotu15786						1						
Zotu1800											1	
Zotu23432												1
Zotu10042								1				
Zotu29848						1						
Zotu39559							1					
Zotu38372												1
Zotu30031					1							
Zotu34836											1	
Zotu30270												1
Zotu18582											1	
Zotu17083												1
Zotu15738											1	
Zotu12279											1	
Zotu39875												1
Zotu23030									1			
Zotu20869										1		
Zotu35043											1	
Zotu16896											1	
Zotu46113										1		
Zotu37613											1	
Zotu34575											1	
Zotu14917					1							
Zotu21527					1							
Zotu25495											1	
Zotu10237				1	1	27						
Zotu50364								1				
Zotu34511												1
Zotu39835										1		
Zotu37937												1
Zotu27294							1	1		2		
Zotu48045					1							
Zotu13095						1						
Zotu21313							1					
Zotu9492				1								
Zotu39594					1							
Zotu53301				1								
Zotu7018					1							
Zotu42802											1	
Zotu38433										1		
Zotu18224								1				
Zotu26019					1	1						
Zotu3678				1		2					1	
Zotu44574								1				
Zotu5976				1		2					1	
Zotu24451								2				
Zotu26604										2		
Zotu32634											1	
Zotu36094										1		
Zotu24204										1		
Zotu14247						1						
Zotu2564					1	1					1	1
Zotu17558					1							
Zotu15746												1
Zotu51967												1
Zotu27908						1						
Zotu47198					2							
Zotu55436						1						
Zotu14641											3	
Zotu3072							1					
Zotu7054								1			1	
Zotu34776								1				
Zotu24591							1					
Zotu8697				1								
Zotu18337					1			1				
Zotu21376					1							
Zotu42412				1								
Zotu18311						1						
Zotu50435												1
Zotu17191							1					
Zotu21595										1		
Zotu3045											1	
Zotu1687							23					1
Zotu28580								1				
Zotu4373											2	
Zotu3911				88		24						
Zotu4759						29		4		1	2	
Zotu53231					2		1					
Zotu12148												1
Zotu10465						5	1					
Zotu6373					1	43					3	3
Zotu15793												1
Zotu10784					3				2		1	
Zotu12047				1		1					2	
Zotu3533											1	7
Zotu10773				10								
Zotu29796						1						
Zotu2828				6	4	7					4	52
Zotu22228					1							
Zotu3714											1	
Zotu12662												2
Zotu33072												1
Zotu10153									1			
Zotu13358											1	
Zotu16015												1
Zotu28225					2							
Zotu5285				111	6	1					1	1
Zotu14674						4					1	1
Zotu43330									1			
Zotu37949												1
Zotu29872												1
Zotu8526											8	
Zotu6529					1							
Zotu31648												1
Zotu51839					1							
Zotu5463											13	
Zotu9794					1							
Zotu104						1						
Zotu19920												3
Zotu24729					2			1				
Zotu3462						1						
Zotu6886						1	1					1
Zotu5934												1
Zotu20835											1	
Zotu5574												1
Zotu10517						2						1
Zotu27057				1				1				
Zotu12009											1	
Zotu15741				2							2	
Zotu7663											1	
Zotu13050							1					
Zotu9695									1			
Zotu20796						1						1
Zotu12561										1		
Zotu3471				1								
Zotu4235				15								
Zotu18787												1
Zotu15505				3								
Zotu1166					1						1	
Zotu37943										1		
Zotu21916												1
Zotu34416					1							
Zotu1910					1						1	
Zotu13197					1							
Zotu29594											1	
Zotu20210												1
Zotu7249											1	
Zotu2082						1						
Zotu14370					1							
Zotu1658				38					15			
Zotu2714				1	10			1		24	23	2
Zotu19570					1	1						
Zotu34795											1	
Zotu21080												2
Zotu34668					1							
Zotu34559					1							
Zotu48021							1				1	
Zotu28553						1						
Zotu9546									1			
Zotu1653					1							
Zotu8004											1	
Zotu6776												1
Zotu6991					2	2	1					
Zotu6016											1	
Zotu17952						1						
Zotu3514				7		1						
Zotu3986									2			1
Zotu36250				1	1		1					
Zotu14439												1
Zotu54748												1
Zotu20717				1					1			
Zotu55446							1					1
Zotu12470					1						1	
Zotu1830						1						
Zotu12560				1								
Zotu4493												1
Zotu45549					1			1				
Zotu6828				1								
Zotu6524												1
Zotu44322						6						
Zotu10962												1
Zotu21714							1					
Zotu9788					1	1						
Zotu24132					1			1				
Zotu44134							1					
Zotu33165					1							
Zotu1430											1	
Zotu31861							1			1		
Zotu16352											1	
Zotu12112					2	1						
Zotu1442								2				
Zotu7816						1						
Zotu34472								1				
Zotu20217										1		
Zotu2970					1							1
Zotu21109									1			
Zotu12627				1								
Zotu17112						1						
Zotu13032								1				
Zotu9148					2	1					11	1
Zotu11780					4						1	
Zotu10286				1								
Zotu17064				1								
Zotu15977								1				
Zotu11397											1	
Zotu13539												1
Zotu44524											1	
Zotu18049								1				
Zotu3151					2							
Zotu40737							1					
Zotu7158												1
Zotu4968										1	1	
Zotu8182					1			1			1	
Zotu7574						1						
Zotu20107										1		
Zotu22579					1						1	
Zotu48567												1
Zotu18382						1					1	
Zotu11334												1
Zotu11710				1								
Zotu3495											1	
Zotu2447												1
Zotu18443						1						
Zotu36076				1								
Zotu1804					2	2						
Zotu13320						1						
Zotu44274				1							1	
Zotu8713						1						
Zotu14566				1					1			
Zotu10885					1							
Zotu13668					2	1			1			
Zotu20985												1
Zotu2398						1						1
Zotu5507					1							
Zotu9729					1							
Zotu52494								1				
Zotu6999											1	1
Zotu29859					1							
Zotu35979									1			
Zotu35318				1								
Zotu848				470	9	215					1	
Zotu5517					4							
Zotu3030										80		
Zotu20157										1		1
Zotu7946					15							
Zotu47397					1							
Zotu42997					3							
Zotu27796					1							
Zotu18488								1		3		
Zotu23190					1							
Zotu17823				8								
Zotu4960											1	
Zotu46715										1		
Zotu11525								1				1
Zotu15979										2		
Zotu12913					1							
Zotu23256					1							
Zotu20315								1				
Zotu51319										1		
Zotu39016							1					
Zotu26588										1		
Zotu30697					1							
Zotu11199					12			1				
Zotu41733												1
Zotu39200												1
Zotu20042					1							
Zotu48312					1							
Zotu37522										1	1	
Zotu49248							1					
Zotu34098					1							
Zotu54112										2		
Zotu29824											2	
Zotu36225							1					
Zotu18994					1			1			1	
Zotu7334								1				
Zotu4091				1	1			2				
Zotu20740					1							
Zotu10528					1			1		3		
Zotu19815					1							
Zotu23340						1						
Zotu8735										1		
Zotu23629					2							
Zotu49246										1		
Zotu29864				1								
Zotu23203										2		1
Zotu44611					1							
Zotu12174								1				
Zotu24029					1					2		
Zotu8946				7								1
Zotu25404										1		
Zotu38862					1							
Zotu18390								1				
Zotu10227											1	
Zotu53389							1					
Zotu10362					1							
Zotu18321					1					1		
Zotu17282											2	
Zotu33548							1					
Zotu48588												1
Zotu53515										1		
Zotu43899					1							
Zotu35774					2							
Zotu32803				1								
