ID	sp10N2016	sp10N2017	sp10N2018	sp16N2016	sp16N2017	sp16N2018	sp1N2016	sp1N2017	sp1N2018	sp20N2016	sp20N2017	sp20N2018
Zotu1306	1		1		4	2				1	1	
Zotu4171	9		3	1	1		26	1			1	
Zotu97	30	13	28	32	117	41	64	24	6	23	71	10
Zotu343	28		32	2	21	2	5	27	1	1	10	2
Zotu3446	1			1	6						1	
Zotu1332	4				5	2					1	1
Zotu864	7	2	3	2	54		4	13		4	2	
Zotu2241	18	1		11	10	3	7	3		2	1	
Zotu4583	18			11	1		1	2		7		
Zotu290	50		44	9	22	2	21	14		142	10	
Zotu232	52	5	6	19	24	6	19	13	1	32	106	15
Zotu3408			1								2	2
Zotu155				1	2		1			1	1	
Zotu5412	4		2	2	2		2					
Zotu2870	1				4		2	1		1	7	
Zotu1507	1			2	2		1		1	1	1	
Zotu29	179	107	82	85	172	94	81	232	13	165	179	1048
Zotu6073			1		3	1						
Zotu2682	6		1	2			4				3	
Zotu158	33	46	53	10	129	63	120	47		13	34	1
Zotu17355	2									2		
Zotu25300	2											
Zotu6673	45			5								
Zotu3480	9						4			2	4	
Zotu10710				1								
Zotu1504	18	8	6	2		1	7	2	1	8	4	
Zotu24616	2			1								
Zotu2394			3		1	2					1	
Zotu8843				1		19					1	3
Zotu185	10	7	5	63	3	12	25	2	4	56	3	8
Zotu13905	1											
Zotu3500	4		7				41					
Zotu1508	21		1		73	15	2	29				
Zotu92	26	14	7	67	63	66	14	25	32	185	50	118
Zotu896	6	1	1		1		2	2		3		2
Zotu55	7	1	10	6	10	9	3	3	8	2	11	7
Zotu2180	13		4	6	1	13	6			1	2	7
Zotu35086		4	1	2	1					1		
Zotu605	16		1	4		1	7	6		47	16	
Zotu2718	13	5				3		4	7			
Zotu429	35		7		4	1	11	7			1	
Zotu7	17	72		5	700	2	2	1827		19	365	
Zotu9970	5			7	1							1
Zotu9808			1			1		1				
Zotu7843	3			1	3		7	1				
Zotu3289	3			1	3	1		2		3	1	1
Zotu899	4		12	1	1	4	4	4		79	5	
Zotu2146	26			3	1			5		1	1	1
Zotu289	14	1	18	15	5		44	37		70	88	2
Zotu15715	3				1	7						
Zotu11074	1							1				
Zotu3864			1		3	1					1	
Zotu1948			1			2						1
Zotu2807	2	1	1		10		1	1			6	
Zotu10717	9											
Zotu2871	60		1	1	6		4			1		
Zotu545	22		10	13	90	2	13	18	2	2		
Zotu9030			1		1							
Zotu7324				1			1					2
Zotu2792	29			16						2		
Zotu400	9			3	5	4		7		4	3	2
Zotu798	21		1	9	14		7			9	2	
Zotu503	14	18	44	3	19	3	40	10	1	1	5	2
Zotu367	26	3	1	1	20	7	26	12		18	71	
Zotu2474	9			1	6		1			2	1	
Zotu10392	2			4	2		1	1		2		
Zotu2742	4				2	1		3			1	
Zotu3998	6		2		7	1	4	2		5		
Zotu19847	1										2	
Zotu5676	51						9					
Zotu128	33	18	139		77		7	11		31	82	1
Zotu4532	14				2						2	
Zotu20356	1											
Zotu750				1	4			1		4	1	2
Zotu14691	2				2		2					
Zotu18123	18						3	2		1		
Zotu2084	2		1					2		1		
Zotu317	13		6	8	3	12	4	1	2	9	12	4
Zotu320	19						5	2	2	2	1	
Zotu574	28	13	2	13	9	5	11	12	6	3	5	5
Zotu1966	3	1			1		39	7			1	
Zotu1322	15			3	13		3				6	2
Zotu1646	1			1	4	2	1				1	1
Zotu359	27		10	1	9	2	139	16	1	2		3
Zotu44	1	80	16	50	21		10			1	35	
Zotu340	19	2	2		5		3				1	
Zotu16235	1											
Zotu408	1		4	2	11	4	1	1		1	10	
Zotu248	25	10	15	33		1	20	147	28	335	1	12
Zotu482	3		3	2	5	3	21	3	2	2	5	4
Zotu3681	12			1	6		12	1				
Zotu659	2		1		3	2		1				
Zotu5238	19	2	8		4	1	3	2	1	2	2	
Zotu2034	15		1	11	2		2	6		3	2	1
Zotu121	5		1	1	5	12	3	1	8			2
Zotu1115	37	62	81	4	6		1	23	179			
Zotu742	1			1	3	2	2		4	1	3	2
Zotu1118	4		2	2	2	1	1		1		3	
Zotu35	103	141	23	71	130	106	121	76	14	228	189	171
Zotu3169	7			5	5		2	5			1	6
Zotu1212	1	1	4		10	2	2	2	1	6	20	2
Zotu3851	15				1		11					
Zotu5827		1										
Zotu1607	14				8		17			2	2	
Zotu1106	5			1	8	3	3			1	6	1
Zotu628	2		2		1	3	1				2	2
Zotu475	21	1	5	1	7	3	10	4		11	13	
Zotu36	87	4	4	14	11	13	40	3	7	4	4	
Zotu566	12	4	8		23		44	13		1	7	
Zotu1519	11	1			1	1					1	
Zotu11969	3											
Zotu1386	11						37			21		
Zotu102	9		3	6	1	5	6	3	5	2	4	3
Zotu15132	2			1		1	1					
Zotu5101	18			6			4					
Zotu4093	12		1	12	1		4	1		2		
Zotu1681	13	1				1	2	2		1		
Zotu8185				1	2			1			2	
Zotu3494	5		1		2	1	5	3	1	2	4	
Zotu18552					1							
Zotu261	10	2	2	7	12	10	9	6	2	2	19	4
Zotu677	1		1	1	2	1	3	5			11	
Zotu4898											1	
Zotu1113	15		105	1			25			2	3	1
Zotu646	3		1	3	3	6			2	2	4	
Zotu39982	1											
Zotu582	43	3	20	16	60		19	15		3	3	
Zotu1281	3							1		4		
Zotu6601	4						1			3		
Zotu1953	12		2	2	6		1	1			3	1
Zotu3653	2	1		1			1					
Zotu7924	1			1			2			38		
Zotu1473	1		2	3	5	1	1	15		16		
Zotu11659	6				9	5	4	2	2	5	1	3
Zotu50335					2							
Zotu20118	1											
Zotu3215	3	1		1	1					1	1	
Zotu5906				1	2		4	3		1	4	
Zotu4465	4	1		2	5			1			1	
Zotu30002					1							
Zotu3956	3	1	1				2					
Zotu4205	1						8					
Zotu5008	5	1		19			3	3			2	
Zotu1097	4	1	13	8	22	8	20	8	3	7	5	3
Zotu368	14	1	20	8		6	11	1	2	10	5	3
Zotu210	82	3	3	7	114	1	23	25		7	155	
Zotu6260	2						7					
Zotu752			1		1			1				
Zotu455	3		1	3	5	2	2			4	7	1
Zotu78	52	5	5	29	28	55	14	21	4	48	97	35
Zotu23149	1											
Zotu3346	6		1			1	2			1		
Zotu792	9		3	11	7		3					
Zotu598	8		1		2	1		2		5		
Zotu2187	20			3			9					
Zotu829	1	1			21	1	1	4		6	6	3
Zotu1618					6	2	2	1			3	
Zotu9566	3				3		1	3			1	
Zotu13181												1
Zotu14766	2				1		1					
Zotu8944				1	2		1					
Zotu8392	1				1		1			1	1	1
Zotu13441	3			1				2				
Zotu612	7	8	10	29	3	16	1	5	28	13	15	34
Zotu1605	1			8	2	1					2	1
Zotu116	7	55	20		39		20	71		10	42	2
Zotu46379	3		1					2				
Zotu4504	11						2			1	1	
Zotu544	54		1	3	11			6			1	
Zotu6465	2		1				1					
Zotu10910	4		1		1		1					
Zotu654	10	3		3	1		50	14		11	1	18
Zotu2930	5	1			10	4		1		2	6	
Zotu1209	8	2	1	9	19		2	6		5	3	
Zotu4047	3		17		2	1						
Zotu499	3	1	5	3	3	4	10	7		14	32	
Zotu8899	1			1	3			2		1		
Zotu25616	4									1		
Zotu7785	6			1			1			1	2	
Zotu50187	3		1				1	1				
Zotu2088	27			3	10		9	2		5		
Zotu3355	12				2		1	3		1		
Zotu23	13	227	2	67	76	133	5	49	17	115	153	63
Zotu209	54	3	19	2	3	6	187	9		14	5	2
Zotu3869			1			1	1			1		
Zotu13081	1						1			1		
Zotu10440										1	1	
Zotu774	8		9	3	11		26	7		3	2	1
Zotu5539	2		1			1		1		4	1	
Zotu9577												1
Zotu5888	8			1			1	1		1		
Zotu3702	5		2	1	1			1		7	1	
Zotu30436	2							1				
Zotu1679	26	1	1	1	1		8		2	2		
Zotu32972	2										1	
Zotu930	6		6		10		5	2	1	3		3
Zotu221	4		2		2	2	1			1	4	4
Zotu5156	1				2		3		1	1		
Zotu336	5	1	5	2	6	7	2				4	2
Zotu771	4			1	11	5	6	1	1	1	3	
Zotu21454	4											
Zotu134	1				2	1		2	1	2	1	
Zotu180	41		34	12	12	6	88	31	7	4	16	
Zotu8973	2				26		1					
Zotu409	13	2	5	1	26	15		2		13	81	1
Zotu3120	8						28	1		19	1	
Zotu74	7		22	7	8	13	3	4	7		7	1
Zotu2143	1		3		3					1	2	
Zotu276	25	2	2	11	61	45	72	14	9	36	109	
Zotu1050	31				5		2	10		5		
Zotu3371	2			1	2	1	3	1			3	
Zotu153	1	1	8	2	12	14		5	2	7	14	7
Zotu436	22		8	4	9	1	17	7	5	14	11	5
Zotu196	52	5	10	2	7		46	33		2	3	4
Zotu2968	27	7	23		1	3	16	2		3	1	
Zotu10329				1	7							
Zotu584	5	1			5	13	3	4		1	7	3
Zotu5734	12			1			5	1		3		
Zotu349	58	9	8		3	9	4	26	19	24	37	31
Zotu2117	1			1			3	1			1	
Zotu2725	21		2	18	7		1	13		3		
Zotu49	8		5	3	7	12	1	5	1	2	10	9
Zotu21648	4											
Zotu2199	5			1	12		1			6	2	
Zotu7355	3			1			1					
Zotu8645	1			4			1					
Zotu1957	2	2		1	4	1	3			2		
Zotu3656	1		1				1				2	
Zotu1834	9		1				7	3		2		
Zotu5170	6	1		3	1	3	8	1		2	3	2
Zotu353					6	6					9	3
Zotu3201	15			2	1	3	2	1			1	
Zotu10925	13											
Zotu37403	1											
Zotu2349	26	1					11			15		
Zotu15128							2					
Zotu362	7	1	4	1	7	2	7	6		1	5	
Zotu333	34	2	8	9	38	150	9	3		5	14	5
Zotu3715	5				4		7	3		1		
Zotu2391	8	1	3	1	1		4	56		25		
Zotu2694	27			14	7		7	1		1		
