"10N2016" "10N2017" "10N2018" "16N2016" "16N2017" "16N2018" "19N2016" "19N2017" "19N2018" "1N2016" "1N2017" "1N2018" "20N2016" "20N2017" "20N2018" "23N2016" "23N2017" "23N2018" "3N2016" "3N2017" "3N2018" "6N2016" "6N2017" "6N2018" "17soil10N" "17soil16N" "17soil19N" "17soil1N" "17soil20N" "17soil23N" "17soil3N" "17soil6N" "18soil10N" "18soil16N" "18soil19N" "18soil1N" "18soil20N" "18soil23N" "18soil3N" "18soil6N" "16soil10N" "16soil16N" "16soil19N" "16soil1N" "16soil20N" "16soil23N" "16soil3N" "16soil6N"
"Zotu53" 26 0 2 2 92 0 74 328 19 9 57 0 9 12 0 1 22 4 2 0 2 0 0 0 14 33 25 27 13 11 20 24 151 13 150 100 217 44 33 54 3 5 537 14 136 24 13 33
"Zotu118" 6 0 0 0 0 0 2 0 0 1 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 1 7 0 9 77 29 27 1 0 0 0 19 322 37 1 378 0 0 0 8 29 0
"Zotu1557" 28 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Zotu70" 6 0 0 0 4 1 1 26 7 0 1 0 5 4 1 0 36 0 0 0 0 0 0 1 8 21 60 2 10 109 13 3 21 17 81 5 24 148 11 8 1 0 74 1 7 95 0 0
"Zotu1021" 2 0 0 0 3 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Zotu5" 21 33 324 12 79 3 160 91 1354 36 500 9 342 344 193 274 1172 201 1795 48 44 74 7 68 2 39 3 2 7 1 2 2 5 20 77 29 25 15 2 0 1 5 2 305 3 4 3 0
"Zotu117" 26 0 0 0 122 0 0 24 1 21 129 0 0 0 0 0 0 1 1 0 0 0 3 0 19 2 4 9 2 1 0 1 12 35 3 13 1 0 1 26 3 0 1 27 8 31 0 2
"Zotu837" 5 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 1 0 0 0 0 0 4 3 0 0 0 0 27 0 0 0 0 0 40 0 57 0 0 0 0 0 0 0 0 0
"Zotu2809" 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 3
"Zotu479" 27 0 0 0 5 2 0 3 0 1 1 0 3 1 0 0 0 0 0 0 0 1 0 0 0 0 3 4 2 0 1 0 3 11 0 8 4 0 5 3 4 0 1 9 9 0 4 14
"Zotu209" 22 0 0 1 10 0 21 31 1 6 57 0 8 2 0 0 10 0 24 0 1 0 0 0 0 10 1 2 13 8 0 2 28 12 0 30 30 0 1 9 41 0 39 3 16 4 0 12
"Zotu898" 0 0 0 0 3 0 0 0 0 0 0 0 0 17 3 1 0 0 20 1 0 2 0 2 0 2 0 0 6 0 0 4 0 21 0 0 2 1 0 4 0 6 0 0 0 41 0 1
"Zotu433" 2 0 0 0 0 0 2 0 2 0 0 0 0 0 0 9 55 1 87 2 1 1 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 67 0 0 0 0 0 0 0 12 0 0
"Zotu422" 129 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 3 0 2 1 0 0 0 15 1 0 5 0 0 0 0 4 1 0 0 7 0 0 0
"Zotu74" 6 0 0 0 0 0 0 16 0 2 142 1 0 4 0 1 1 1 2 0 0 0 0 0 99 1 5 44 8 38 36 20 132 2 0 81 5 15 33 24 42 2 3 2 4 6 32 2
"Zotu391" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0
"Zotu34" 18 0 12 0 7 12 4 7 0 7 37 0 5 5 3 0 9 1 64 2 6 2 1 4 297 72 43 316 48 91 70 222 263 156 8 409 64 98 50 66 55 36 6 43 23 8 20 6
"Zotu167" 75 0 0 0 5 0 0 3 0 2 4 0 2 0 0 2 7 0 8 0 0 0 0 1 9 3 2 3 0 1 0 1 2 10 0 1 0 0 5 2 0 1 17 0 45 20 12 415
